,Season,Date,Guests
299,S02E134,2005-03-24,Sandra Bullock/Chris Kattan (300th Episode)
300,S02E135,2005-03-25,Bernie Mac/Reba McEntire/Sum 41
301,S02E136,2005-04-04,Queen Latifah/Tim Daly
302,S02E137,2005-04-05,Kenneth Branagh/Lisa Marie Presley
303,S02E138,2005-04-06,Cynthia Nixon/John Spencer/Al Green
304,S02E139,2005-04-07,Kevin Costner/Michael Clarke Duncan
305,S02E140,2005-04-08,Whoopi Goldberg/Regina King
306,S02E141,2005-04-11,Brittany Murphy/Eric Idle/Ringside
307,S02E142,2005-04-12,Tom Selleck/Wendie Malick/Hall & Oates
308,S02E143,2005-04-13,Pamela Anderson/Anthony Anderson
309,S02E144,2005-04-14,Anthony Anderson/Maura Tierney
310,S02E145,2005-04-15,Ryan Seacrest/Fran Drescher
311,S02E146,2005-04-25,Anjelica Huston/Rob Thomas/Nadia Turner
312,S02E147,2005-04-26,Jason Alexander/Amy Yasbeck/Kenny Loggins/Jim Messina
313,S02E148,2005-04-27,Penny Marshall/Rob Morrow/Ellie Lawson/John Moceo
314,S02E149,2005-04-28,Owen Wilson/Vince Vaughn
315,S02E150,2005-04-29,Eric McCormack/Ty Pennington
316,S02E151,2005-05-02,Eric McCormack/Constantine Maroulis
317,S02E152,2005-05-03,Jay Leno/Jamie Lynn Spears
318,S02E153,2005-05-04,Matt Dillon/Betty White
319,S02E154,2005-05-05,Brendan Fraser
320,S02E155,2005-05-06,Paris Hilton/Kathy Hilton/Mekhi Phifer/ Rhoda Phifer
321,S02E156,2005-05-09,Felicity Huffman/Neil Diamond/Scott Savol
322,S02E157,2005-05-10,Martin Short/Ellen Pompeo
323,S02E158,2005-05-11,Simon Cowell
324,S02E159,2005-05-12,Matt LeBlanc
325,S02E160,2005-05-13,Mariah Carey/Taye Diggs
326,S02E161,2005-05-16,Jennifer Lopez/ Anthony Fadarov
327,S02E162,2005-05-17,Britney Spears and Kevin Federline
328,S02E163,2005-05-18,Gwen Stefani/Eve/Wanda Sykes/Kirstie Alley
329,S02E164,2005-05-19,Ray Romano/James Denton
330,S02E165,2005-05-20,Marcia Cross/Carson Daly
331,S02E166,2005-05-23,Goldie Hawn/Jimmy Smits/Gretchen Wilson
332,S02E167,2005-05-24,Matthew Fox/Jenny McCarthy
333,S02E168,2005-05-25,Peter Krause/Alanis Morrissette/Jada Pinkett Smith
334,S02E169,2005-05-26,Il Divo/Lisa Kudrow/Linda Ellerbee
335,S02E170,2005-05-27,Helen Hunt/Nelly
336,S02E171,2005-05-30,Matt Lauer/Lee Ann Womack
337,S02E172,2005-05-31,Dustin Hoffman/Carmen Electra
338,S02E173,2005-06-01,Minnie Driver; Treat Williams
339,S02E174,2005-06-02,Susan Lucci/Tara Reid
340,S02E175,2005-06-03,Kiefer Sutherland/Poppy Montgomery
341,S02E176,2005-06-06,Charlie Sheen/Jennifer Coolidge
342,S02E177,2005-06-07,Usher/Dennis Fraz/Mo'Nique
343,S02E178,2005-06-08,Russell Crowe/Carrie Underwood/Black Eyed Peas
344,S02E179,2005-06-09,Kevin James/Shannen Doherty
345,S02E180,2005-06-10,Garry Shandling/Aisha Tyler
346,S03E01,2005-09-05,Jeff Gordon/Rihanna
347,S03E02,2005-09-06,Ray Romano/Alicia Keys
348,S03E03,2005-09-07,Debra Messing/Hilary Duff
349,S03E04,2005-09-08,Cast of The O.C./George Lopez
350,S03E05,2005-09-09,Kanye West/Jeff Foxworthy
351,S03E06,2005-09-12,David Spade/Matthew Sawchuk/Tommy Lee
352,S03E07,2005-09-13,Lauren Graham/Jeffrey Tambor
353,S03E08,2005-09-14,Melanie Griffith/Chris O'Donnell
354,S03E09,2005-09-15,Gwyneth Paltrow/Leah Remini/Marc Cherry
355,S03E10,2005-09-16,Charlie Sheen/Cynthia Nixon
356,S03E11,2005-09-19,Ellen's Live Emmy Special
357,S03E12,2005-09-20,Donald Trump/Paul Reiser/Peter Falk/Pussycat Dolls
358,S03E13,2005-09-21,Johnny Knoxville/Maroon 5/Carla Gugino
359,S03E14,2005-09-22,James Denton/Rachel Weisz
360,S03E15,2005-09-23,Nicollette Sheridan/Chi McBride/Trisha Yearwood
361,S03E16,2005-09-26,Jodie Foster/Trisha Yearwood/Nick Cannon
362,S03E17,2005-09-27,Alec Baldwin/Alyson Hannigan
363,S03E18,2005-09-28,Jennifer Garner/Josh Kelley/Michael Rapaport
364,S03E19,2005-09-29,Jerry O'Connell/Fran Drescher
365,S03E20,2005-09-30,Jennifer Love Hewitt/Jared Padalecki
366,S03E21,2005-10-03,Josh Duhamel/Joely Fisher
367,S03E22,2005-10-04,Jessica Alba/Noah Wyle/Toni Braxton
368,S03E23,2005-10-05,Liz Phair/Constance Marie
369,S03E24,2005-10-06,Cameron Diaz/Paul Walker/Jo Dee Messina
370,S03E25,2005-10-07,Don Johnson/Vanessa Marcil/Christina Aguilera
371,S03E26,2005-10-10,Matthew McConaughey/Wynonna Judd
372,S03E27,2005-10-11,Denise Richards/Sherri Shepherd
373,S03E28,2005-10-12,Rene Russo/Naveen Andrews
374,S03E29,2005-10-13,Kevin Bacon/Sara Rue
375,S03E30,2005-10-14,Kirsten Dunst/Babyface/Mickey Rourke
376,S03E31,2005-10-17,Amy Brenneman/Jeff Corwin/Jimmy Kimmel
377,S03E32,2005-10-18,Meryl Streep/Jason Lee
378,S03E33,2005-10-19,Charlize Theron/Jeff Daniels
379,S03E34,2005-10-20,Rod Stewart/Dakota Fanning
380,S03E35,2005-10-21,Sharon Stone/Tyler James Williams
381,S03E36,2005-10-24,Barbra Streisand/Ashlee Simpson
382,S03E37,2005-10-25,Susan Sarandon/Stevie Wonder
383,S03E38,2005-10-26,Benjamin Bratt/Elisabeth Shue/All-American Rejects
384,S03E39,2005-10-27,Antonio Banderas/Kathryn Morris
385,S03E40,2005-10-28,Catherine Zeta-Jones/Serri Shepherd/David Gray
386,S03E41,2005-10-31,Jane Kaczmarek/Emily Procter
387,S03E42,2005-11-01,Julie Bowen/Zach Braff
388,S03E43,2005-11-02,Steve Zahn/Jimmy Smits/Lisa Marie Presley
389,S03E44,2005-11-03,Tour of Warner Bros. Studio
390,S03E45,2005-11-04,Ricky Martin/Sherri Shepherd
391,S03E46,2005-11-07,Neil Patrick Harris and Pamela Anderson
392,S03E47,2005-11-08,John Cusack and Jaime Pressly
393,S03E48,2005-11-09,Chad Michael Murray and Martha Stewart
394,S03E49,2005-11-10,Jake Gyllenhaal/Carmen Electra
395,S03E50,2005-11-11,Jennifer Aniston/Kenny Chesney/Hugh Laurie
396,S03E51,2005-11-14,Paul McCartney
397,S03E52,2005-11-15,"Geena Davis, Ryan Reynolds"
398,S03E53,2005-11-16,"Reese Witherspoon, Terrence Howard, Hazel Smith"
399,S03E54,2005-11-17,Robert Downey Jr./Maura Tierney
400,S03E55,2005-11-18,"Mariah Carey, Evangeline Lilly, Marc Yu"
401,S03E56,2005-11-21,"Usher, Cyndi Lauper, Rosie Perez, the cast of “Rent”"
402,S03E57,2005-11-22,"Kim Cattrall, Bon Jovi, the Radio City Music Hall Rockettes"
403,S03E58,2005-11-23,"Matt Lauer, Tina Fey, Rachel Dratch, Amy Poehler"
404,S03E59,2005-11-24,"Gwyneth Paltrow, Leah Remini, Marc Cherry"
405,S03E60,2005-11-25,"Queen Latifah, Billy Joel"
406,S03E61,2005-11-28,"Patricia Heaton, Neil Diamond, Michael Sessions"
407,S03E62,2005-11-29,Dennis Quaid
408,S03E63,2005-11-30,Jay Leno
409,S03E64,2005-12-01,"Anthony LaPaglia, Ty Pennington"
